epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4294,1.33133,2.05701,0.87243,0.56489,0.32802,0.34513,0.19739,1.29625,1.18074,0.8379,0.000325,0.000325,0.000325
2,43.9929,1.14572,0.78905,0.83305,0.73772,0.55983,0.59136,0.34832,1.09342,0.80942,0.82774,0.000636265,0.000636265,0.000636265
3,65.6537,1.07655,0.68309,0.82028,0.73078,0.63079,0.60532,0.34686,1.10001,0.69037,0.82442,0.0009208,0.0009208,0.0009208
4,90.9711,1.06382,0.66812,0.82218,0.81167,0.6534,0.6819,0.43096,0.92935,0.65588,0.81366,0.0011015,0.0011015,0.0011015
5,112.909,1.05149,0.66277,0.81455,0.77132,0.62424,0.65561,0.41111,0.93609,0.6497,0.81058,0.001052,0.001052,0.001052
6,134.473,1.03806,0.59612,0.81596,0.8525,0.67984,0.71518,0.44695,0.9533,0.56321,0.81212,0.0010025,0.0010025,0.0010025
7,156.01,1.01457,0.5642,0.8151,0.83301,0.66515,0.73049,0.4754,0.88602,0.49426,0.81052,0.000953,0.000953,0.000953
8,177.472,0.96943,0.53434,0.81141,0.82582,0.68439,0.75245,0.49297,0.86218,0.50649,0.80808,0.0009035,0.0009035,0.0009035
9,199.073,0.91666,0.51196,0.80356,0.85312,0.68421,0.74927,0.49256,0.85319,0.4922,0.80636,0.000854,0.000854,0.000854
10,221.545,0.94402,0.50737,0.80781,0.83283,0.69625,0.75964,0.49345,0.86479,0.47821,0.80743,0.0008045,0.0008045,0.0008045
11,243.852,0.94294,0.49812,0.80566,0.86534,0.70409,0.76434,0.50877,0.86218,0.47831,0.80594,0.000755,0.000755,0.000755
12,266.175,0.89163,0.47721,0.80202,0.81934,0.73077,0.76806,0.51688,0.83192,0.4524,0.80663,0.0007055,0.0007055,0.0007055
13,288.538,0.86677,0.46164,0.80072,0.90769,0.69559,0.77777,0.53718,0.8007,0.44113,0.80278,0.000656,0.000656,0.000656
14,311.143,0.88039,0.45803,0.80077,0.8538,0.73476,0.78548,0.53299,0.81426,0.43734,0.8021,0.0006065,0.0006065,0.0006065
15,333.332,0.87018,0.45198,0.80041,0.85104,0.72675,0.78047,0.53781,0.8257,0.445,0.80176,0.000557,0.000557,0.000557
16,375.168,0.83471,0.44837,0.79912,0.83756,0.74529,0.78251,0.5227,0.83258,0.43983,0.80288,0.0005075,0.0005075,0.0005075
17,396.405,0.80587,0.4454,0.79832,0.86987,0.66788,0.75455,0.50389,0.81375,0.4527,0.80275,0.000458,0.000458,0.000458
18,418.165,0.78257,0.42145,0.79621,0.8069,0.74852,0.78241,0.5365,0.80594,0.42341,0.80161,0.0004085,0.0004085,0.0004085
19,440.072,0.78338,0.41339,0.79556,0.80399,0.75905,0.78915,0.53935,0.80042,0.43177,0.80023,0.000359,0.000359,0.000359
20,460.731,0.77772,0.41177,0.79546,0.84732,0.75232,0.78193,0.53458,0.79333,0.43238,0.80044,0.0003095,0.0003095,0.0003095
21,481.169,0.75574,0.39847,0.79366,0.85638,0.73347,0.79097,0.55369,0.79354,0.41952,0.79993,0.00026,0.00026,0.00026
22,501.892,0.77228,0.40647,0.7963,0.88752,0.7278,0.78684,0.53801,0.80311,0.42176,0.79895,0.0002105,0.0002105,0.0002105
23,522.348,0.75781,0.39595,0.79346,0.8397,0.74039,0.78417,0.54692,0.79049,0.41424,0.79942,0.000161,0.000161,0.000161
24,543.012,0.73798,0.3856,0.79245,0.87192,0.73861,0.78804,0.54984,0.78114,0.40705,0.79936,0.0001115,0.0001115,0.0001115
25,564.042,0.72638,0.3775,0.79146,0.88258,0.73331,0.79177,0.55466,0.76359,0.39678,0.79817,6.2e-05,6.2e-05,6.2e-05
